"estimator","SE","lower","upper","coverage","method","point_estimate","p_value"
"SSE",0.00178975857035886,-0.163321900569481,-0.156306046973674,0.00701585359580675,"Normal",-0.159943469198446,0
"IPTW",0.0130403788000225,-0.217441626035446,-0.166323341139357,0.0511182848960883,"Normal",-0.192710180221551,2.03232610756445e-49
"IPTW.ST",0.0112834645047,-0.231309520867043,-0.18707834000862,0.0442311808584239,"Normal",-0.210040080708501,2.43508273784267e-77
"TMLE",0.00492976178519159,-0.175344379318749,-0.156019713120798,0.019324666197951,"Normal",-0.165945146357986,2.08823985101462e-248
"SSE",0.00178975857035886,-0.163133494239425,-0.156457225221625,0.00667626901780055,"Quantile",-0.159943469198446,NA
"IPTW",0.0130403788000225,-0.214421792773908,-0.166469870999527,0.0479519217743808,"Quantile",-0.192710180221551,NA
"IPTW.ST",0.0112834645047,-0.229177317869658,-0.185432497814977,0.0437448200546807,"Quantile",-0.210040080708501,NA
"TMLE",0.00492976178519159,-0.174912979678346,-0.156054455594651,0.0188585240836946,"Quantile",-0.165945146357986,NA
